,shape,pos,count
0,'x,PART,1
1,",",PUNCT,13
2,.,PUNCT,6
3,Xx,ADV,1
4,Xx,PRON,1
5,Xxx,DET,1
6,Xxx,PROPN,1
7,Xxxx,DET,2
8,Xxxx,PROPN,1
9,Xxxxx,ADJ,2
10,Xxxxx,PROPN,15
11,other.,NUM,2
12,other.,PUNCT,3
13,x,DET,1
14,xx,ADP,21
15,xx,ADV,1
16,xx,AUX,2
17,xx,DET,2
18,xx,PRON,3
19,xx,SCONJ,1
20,xx,VERB,2
21,xxx,ADP,1
22,xxx,ADV,1
23,xxx,AUX,8
24,xxx,CCONJ,3
25,xxx,DET,16
26,xxx,NOUN,4
27,xxx,PART,3
28,xxx,PRON,1
29,xxx,VERB,2
30,xxxx,ADJ,8
31,xxxx,ADP,4
32,xxxx,ADV,4
33,xxxx,AUX,7
34,xxxx,DET,3
35,xxxx,NOUN,28
36,xxxx,PRON,3
37,xxxx,SCONJ,7
38,xxxx,VERB,15
