,shape,pos,count
0,'x,PART,1
1,",",PUNCT,11
2,.,PUNCT,10
3,X,PRON,2
4,Xx,ADP,1
5,Xx,PRON,3
6,Xxx,DET,3
7,Xxxx,ADJ,1
8,Xxxxx,DET,1
9,Xxxxx,PROPN,1
10,other.,PART,1
11,other.,PUNCT,3
12,x,DET,6
13,xx,ADP,7
14,xx,ADV,1
15,xx,AUX,2
16,xx,DET,1
17,xx,PART,3
18,xx,PRON,7
19,xxx,ADP,2
20,xxx,ADV,3
21,xxx,AUX,3
22,xxx,CCONJ,9
23,xxx,DET,11
24,xxx,NOUN,4
25,xxx,NUM,2
26,xxx,PART,3
27,xxx,PRON,4
28,xxx,VERB,9
29,xxxx,ADJ,11
30,xxxx,ADP,11
31,xxxx,ADV,11
32,xxxx,AUX,8
33,xxxx,DET,4
34,xxxx,NOUN,39
35,xxxx,PRON,1
36,xxxx,VERB,19
