,shape,pos,count
0,''Xxx,PRON,1
1,''Xxxxx,VERB,1
2,'Xx,ADJ,1
3,'Xx,PRON,1
4,",",PUNCT,16
5,.,PUNCT,9
6,X,PRON,3
7,Xx,PRON,1
8,Xxx,ADV,1
9,Xxx,CCONJ,1
10,Xxxx,PROPN,3
11,Xxxxx,ADJ,1
12,Xxxxx,PROPN,7
13,other.,PUNCT,6
14,x,DET,4
15,xx,ADP,10
16,xx,AUX,3
17,xx,PART,8
18,xx,PRON,3
19,xx,VERB,5
20,xxx,ADP,2
21,xxx,ADV,2
22,xxx,AUX,6
23,xxx,CCONJ,5
24,xxx,DET,9
25,xxx,NOUN,3
26,xxx,NUM,2
27,xxx,PART,1
28,xxx,PRON,11
29,xxx,VERB,3
30,xxxx,ADJ,6
31,xxxx,ADP,8
32,xxxx,ADV,13
33,xxxx,AUX,5
34,xxxx,DET,4
35,xxxx,NOUN,24
36,xxxx,PRON,4
37,xxxx,SCONJ,5
38,xxxx,VERB,26
