,shape,pos,count
0,'x,PART,1
1,",",PUNCT,5
2,.,PUNCT,10
3,Xx,ADP,2
4,Xx,PRON,2
5,Xxx,CCONJ,1
6,Xxx,PRON,1
7,Xxxx,PRON,2
8,Xxxxx,ADV,1
9,Xxxxx,NOUN,1
10,Xxxxx,PRON,1
11,Xxxxx,PROPN,1
12,other.,PUNCT,5
13,x,DET,3
14,xx,ADP,3
15,xx,AUX,4
16,xx,CCONJ,1
17,xx,DET,1
18,xx,PART,4
19,xx,PRON,3
20,xx,VERB,2
21,xxx,ADP,1
22,xxx,ADV,6
23,xxx,AUX,3
24,xxx,CCONJ,8
25,xxx,DET,2
26,xxx,PART,1
27,xxx,PRON,3
28,xxx,VERB,2
29,xxxx,ADJ,10
30,xxxx,ADP,7
31,xxxx,ADV,5
32,xxxx,AUX,6
33,xxxx,DET,4
34,xxxx,NOUN,31
35,xxxx,PRON,11
36,xxxx,VERB,22
