,shape,pos,count
0,'x,PART,5
1,",",PUNCT,12
2,.,PUNCT,19
3,X,PRON,5
4,Xx,INTJ,1
5,Xx,PRON,6
6,Xxx,ADV,1
7,Xxx,CCONJ,1
8,Xxx,DET,2
9,Xxx,PRON,4
10,Xxxx,ADV,1
11,Xxxx,PROPN,12
12,Xxxx,VERB,1
13,Xxxxx,INTJ,1
14,Xxxxx,NOUN,1
15,Xxxxx,PROPN,2
16,other.,PUNCT,17
17,x,DET,2
18,xx,ADP,5
19,xx,AUX,1
20,xx,DET,2
21,xx,PART,5
22,xx,PRON,8
23,xx,VERB,1
24,xxx,ADJ,2
25,xxx,ADP,5
26,xxx,ADV,1
27,xxx,AUX,4
28,xxx,CCONJ,6
29,xxx,DET,5
30,xxx,NOUN,6
31,xxx,PART,4
32,xxx,PRON,15
33,xxx,VERB,7
34,xxxx,ADJ,2
35,xxxx,ADP,2
36,xxxx,ADV,3
37,xxxx,AUX,2
38,xxxx,DET,2
39,xxxx,NOUN,27
40,xxxx,PRON,1
41,xxxx,VERB,34
