,shape,pos,count
0,'x,PART,2
1,",",PUNCT,9
2,.,PUNCT,8
3,X,DET,1
4,XXXX,PROPN,2
5,Xxx,DET,1
6,Xxx,PRON,1
7,Xxxx,DET,1
8,Xxxxx,ADJ,1
9,Xxxxx,NOUN,1
10,Xxxxx,PRON,1
11,Xxxxx,PROPN,8
12,Xxxxx,VERB,1
13,other.,PUNCT,1
14,x,DET,4
15,xx,ADP,14
16,xx,AUX,4
17,xx,CCONJ,1
18,xx,DET,1
19,xx,PART,7
20,xx,PRON,3
21,xx,VERB,3
22,xxx,ADJ,1
23,xxx,ADP,3
24,xxx,ADV,1
25,xxx,AUX,5
26,xxx,CCONJ,8
27,xxx,DET,5
28,xxx,PART,1
29,xxx,PRON,3
30,xxx,VERB,2
31,xxxx,ADJ,12
32,xxxx,ADP,5
33,xxxx,ADV,4
34,xxxx,AUX,2
35,xxxx,DET,7
36,xxxx,NOUN,47
37,xxxx,NUM,1
38,xxxx,VERB,19
