,shape,pos,count
0,",",PUNCT,10
1,.,PUNCT,5
2,Xxx,DET,1
3,Xxx,PROPN,1
4,Xxxx,PRON,1
5,Xxxx,PROPN,1
6,Xxxxx,ADJ,1
7,Xxxxx,ADV,1
8,Xxxxx,DET,1
9,Xxxxx,PRON,1
10,Xxxxx,PROPN,2
11,other.,PUNCT,1
12,x,DET,3
13,xx,ADP,12
14,xx,ADV,1
15,xx,CCONJ,1
16,xx,PART,2
17,xxx,ADP,2
18,xxx,AUX,2
19,xxx,CCONJ,7
20,xxx,DET,16
21,xxx,NOUN,1
22,xxx,NUM,3
23,xxx,PART,1
24,xxx,PRON,1
25,xxx,VERB,2
26,xxxx,ADJ,7
27,xxxx,ADP,3
28,xxxx,ADV,8
29,xxxx,AUX,4
30,xxxx,DET,3
31,xxxx,NOUN,31
32,xxxx,PRON,3
33,xxxx,SCONJ,3
34,xxxx,VERB,16
