,shape,pos,count
0,",",PUNCT,8
1,.,PUNCT,16
2,Xx,PRON,1
3,Xxx,CCONJ,2
4,Xxx,DET,3
5,Xxx,NOUN,1
6,Xxx,PRON,1
7,Xxxx,ADP,1
8,Xxxx,PRON,1
9,Xxxxx,ADV,1
10,Xxxxx,NOUN,5
11,Xxxxx,PROPN,5
12,other.,PART,1
13,x,DET,3
14,xx,ADP,11
15,xx,ADV,2
16,xx,AUX,2
17,xx,CCONJ,1
18,xx,PRON,3
19,xxx,ADV,1
20,xxx,AUX,8
21,xxx,CCONJ,8
22,xxx,DET,9
23,xxx,NOUN,3
24,xxx,PRON,1
25,xxx,VERB,1
26,xxx?Xxxxx,NOUN,1
27,xxxx,ADJ,13
28,xxxx,ADP,3
29,xxxx,ADV,9
30,xxxx,AUX,4
31,xxxx,NOUN,26
32,xxxx,PRON,2
33,xxxx,SCONJ,5
34,xxxx,VERB,24
35,x’x,PART,1
36,’x,PART,2
