,shape,pos,count
0,",",PUNCT,11
1,.,PUNCT,8
2,Xx,ADP,1
3,Xx,SCONJ,1
4,Xxx,ADJ,1
5,Xxx,DET,1
6,Xxxx,ADJ,1
7,Xxxxx,ADV,2
8,Xxxxx,PROPN,4
9,Xxxxx,SCONJ,2
10,other.,PUNCT,3
11,x,DET,7
12,xx,ADP,17
13,xx,AUX,4
14,xx,DET,1
15,xx,PART,3
16,xx,PRON,1
17,xx,VERB,3
18,xxx,ADJ,1
19,xxx,ADP,2
20,xxx,AUX,9
21,xxx,CCONJ,3
22,xxx,DET,7
23,xxx,NUM,2
24,xxx,PART,3
25,xxx,PRON,1
26,xxx,VERB,1
27,xxxx,ADJ,15
28,xxxx,ADP,3
29,xxxx,ADV,8
30,xxxx,AUX,4
31,xxxx,DET,7
32,xxxx,NOUN,47
33,xxxx,PRON,7
34,xxxx,SCONJ,5
35,xxxx,VERB,24
