,shape,pos,count
0,'x,AUX,1
1,",",PUNCT,13
2,.,PUNCT,9
3,X,PRON,1
4,Xx,AUX,1
5,Xx,PRON,1
6,Xx,SCONJ,1
7,Xxx,DET,6
8,Xxxx,DET,1
9,Xxxx,PRON,2
10,Xxxx,VERB,2
11,Xxxxx,PRON,2
12,Xxxxx,PROPN,4
13,Xxxxx,VERB,1
14,other.,PUNCT,20
15,x,DET,2
16,xx,ADP,9
17,xx,AUX,3
18,xx,DET,2
19,xx,PART,6
20,xx,PRON,4
21,xx,VERB,3
22,xxx,ADV,1
23,xxx,AUX,1
24,xxx,CCONJ,2
25,xxx,DET,8
26,xxx,NOUN,1
27,xxx,NUM,1
28,xxx,PART,1
29,xxx,PRON,9
30,xxx,VERB,1
31,xxxx,ADJ,17
32,xxxx,ADP,1
33,xxxx,AUX,4
34,xxxx,DET,1
35,xxxx,NOUN,31
36,xxxx,NUM,1
37,xxxx,PRON,6
38,xxxx,SCONJ,1
39,xxxx,VERB,26
