,shape,pos,count
0,"""Xxx",PUNCT,1
1,"""Xxxxx",INTJ,1
2,'x,AUX,1
3,'x,PART,3
4,'xx,AUX,2
5,",",PUNCT,13
6,.,PUNCT,7
7,X,PRON,1
8,Xx,ADP,2
9,Xxx,ADV,1
10,Xxx,DET,2
11,Xxx,PROPN,1
12,Xxxx,PROPN,2
13,Xxxxx,PROPN,16
14,other.,ADJ,1
15,other.,PART,2
16,other.,PUNCT,7
17,x,DET,5
18,xx,ADP,18
19,xx,AUX,1
20,xx,DET,1
21,xx,PART,2
22,xx,PRON,2
23,xxx,ADJ,2
24,xxx,ADP,2
25,xxx,AUX,3
26,xxx,CCONJ,4
27,xxx,DET,17
28,xxx,NOUN,2
29,xxx,PART,1
30,xxx,PRON,10
31,xxx,VERB,3
32,xxxx,ADJ,9
33,xxxx,ADP,2
34,xxxx,ADV,7
35,xxxx,DET,2
36,xxxx,NOUN,37
37,xxxx,NUM,1
38,xxxx,PRON,1
39,xxxx,SCONJ,3
40,xxxx,VERB,20
