,shape,pos,count
0,",",PUNCT,17
1,-xxxx,NOUN,1
2,.,PUNCT,9
3,Xx,ADP,2
4,Xxx,CCONJ,2
5,Xxx,DET,1
6,Xxx,PRON,2
7,Xxxx,ADJ,1
8,Xxxxx,ADV,1
9,Xxxxx,NOUN,1
10,other.,PUNCT,4
11,x,DET,3
12,xx,ADP,9
13,xx,AUX,2
14,xx,CCONJ,1
15,xx,PART,3
16,xx,SCONJ,1
17,xx,VERB,3
18,xxx,ADP,3
19,xxx,ADV,1
20,xxx,AUX,4
21,xxx,CCONJ,6
22,xxx,DET,7
23,xxx,NOUN,2
24,xxx,PART,3
25,xxx,PRON,1
26,xxx,VERB,4
27,xxxx,ADJ,13
28,xxxx,ADP,2
29,xxxx,ADV,11
30,xxxx,CCONJ,1
31,xxxx,DET,6
32,xxxx,NOUN,40
33,xxxx,NUM,1
34,xxxx,PRON,3
35,xxxx,SCONJ,3
36,xxxx,VERB,17
