,shape,pos,count
0,'x,PART,2
1,",",PUNCT,4
2,.,PUNCT,10
3,Xx.,PROPN,2
4,Xxx,ADV,1
5,Xxx,CCONJ,5
6,Xxxx,PROPN,5
7,Xxxx,SCONJ,1
8,Xxxxx,PRON,1
9,Xxxxx,PROPN,13
10,Xxxxx,VERB,1
11,other.,PUNCT,1
12,x,DET,1
13,xx,ADP,11
14,xx,DET,2
15,xx,PART,3
16,xx,PRON,1
17,xx,VERB,2
18,xxx,ADJ,2
19,xxx,ADP,1
20,xxx,AUX,8
21,xxx,CCONJ,1
22,xxx,DET,8
23,xxx,NOUN,1
24,xxx,PART,1
25,xxx,PRON,3
26,xxx,VERB,1
27,xxxx,ADJ,9
28,xxxx,ADP,3
29,xxxx,ADV,10
30,xxxx,AUX,2
31,xxxx,DET,4
32,xxxx,NOUN,21
33,xxxx,PRON,6
34,xxxx,SCONJ,4
35,xxxx,VERB,17
36,xxxx-,NOUN,1
