,shape,pos,count
0,'x,PART,1
1,",",PUNCT,36
2,.,PUNCT,7
3,Xx,PRON,1
4,Xxx,CCONJ,7
5,Xxxx,NOUN,1
6,Xxxx,PROPN,1
7,Xxxxx,NOUN,1
8,Xxxxx,PROPN,2
9,other.,NOUN,1
10,other.,PUNCT,7
11,x,DET,7
12,xx,ADP,16
13,xx,ADV,1
14,xx,AUX,1
15,xx,PRON,5
16,xx,SCONJ,1
17,xxx,ADJ,1
18,xxx,AUX,4
19,xxx,CCONJ,21
20,xxx,DET,7
21,xxx,NOUN,10
22,xxx,NUM,2
23,xxx,PRON,3
24,xxx,VERB,2
25,xxxx,ADJ,17
26,xxxx,ADP,13
27,xxxx,ADV,3
28,xxxx,DET,1
29,xxxx,NOUN,39
30,xxxx,NUM,1
31,xxxx,PRON,7
32,xxxx,PROPN,1
33,xxxx,SCONJ,2
34,xxxx,VERB,24
