,shape,pos,count
0,",",PUNCT,11
1,.,PUNCT,10
2,X,PRON,1
3,Xx,ADP,1
4,Xx,ADV,1
5,Xx,PRON,1
6,Xx,SCONJ,1
7,Xxx,CCONJ,2
8,Xxx,DET,3
9,Xxxx,DET,1
10,Xxxxx,ADJ,1
11,Xxxxx,PROPN,7
12,other.,PUNCT,2
13,x,DET,4
14,xx,ADP,23
15,xx,ADV,1
16,xx,AUX,7
17,xx,CCONJ,1
18,xx,PART,1
19,xx,PRON,4
20,xx,SCONJ,1
21,xx,VERB,3
22,xxx,ADP,2
23,xxx,AUX,1
24,xxx,CCONJ,8
25,xxx,DET,19
26,xxx,NOUN,2
27,xxx,NUM,2
28,xxx,PART,3
29,xxx,VERB,1
30,xxxx,ADJ,18
31,xxxx,ADP,4
32,xxxx,ADV,6
33,xxxx,AUX,7
34,xxxx,DET,6
35,xxxx,NOUN,38
36,xxxx,PRON,4
37,xxxx,SCONJ,3
38,xxxx,VERB,13
