,shape,pos,count
0,'x,PART,1
1,",",PUNCT,12
2,.,PUNCT,7
3,Xx,ADP,1
4,Xxxx,ADV,1
5,Xxxx,PRON,1
6,Xxxx,PROPN,1
7,Xxxxx,ADP,1
8,Xxxxx,ADV,2
9,Xxxxx,PROPN,3
10,other.,PUNCT,3
11,x,DET,5
12,xx,ADP,17
13,xx,ADV,1
14,xx,AUX,1
15,xx,CCONJ,1
16,xx,DET,2
17,xx,PART,7
18,xx,PRON,2
19,xx,VERB,1
20,xxx,ADV,1
21,xxx,AUX,1
22,xxx,CCONJ,8
23,xxx,DET,15
24,xxx,NOUN,3
25,xxx,NUM,1
26,xxx,PART,1
27,xxx,PRON,1
28,xxx,VERB,5
29,xxxx,ADJ,12
30,xxxx,ADP,8
31,xxxx,ADV,6
32,xxxx,AUX,6
33,xxxx,DET,5
34,xxxx,NOUN,31
35,xxxx,PRON,8
36,xxxx,SCONJ,1
37,xxxx,VERB,16
