,shape,pos,count
0,"""""Xxxxx",PUNCT,1
1,"""Xxxx",INTJ,1
2,"""Xxxx",NOUN,2
3,"""Xxxxx",INTJ,1
4,"""‘Xxxx",NOUN,1
5,"'""Xxxxx",ADV,1
6,'x,PART,5
7,'x,VERB,1
8,",",PUNCT,24
9,.,PUNCT,11
10,X,PRON,1
11,Xx,ADV,1
12,Xx,PRON,1
13,Xxx,DET,1
14,Xxxx,PRON,1
15,other.,PUNCT,12
16,x,DET,4
17,xx,ADP,10
18,xx,ADV,3
19,xx,AUX,2
20,xx,PART,1
21,xx,PRON,4
22,xx,VERB,1
23,xxx,AUX,1
24,xxx,CCONJ,15
25,xxx,DET,32
26,xxx,NOUN,17
27,xxx,NUM,4
28,xxx,PRON,1
29,xxx,VERB,3
30,xxxx,ADJ,17
31,xxxx,ADP,7
32,xxxx,ADV,6
33,xxxx,AUX,2
34,xxxx,NOUN,23
35,xxxx,PRON,4
36,xxxx,VERB,17
37,"xxxx!""""Xxxx",DET,1
