,shape,pos,count
0,",",PUNCT,11
1,.,PUNCT,7
2,X,PRON,1
3,Xx,ADP,2
4,Xx,PRON,1
5,Xxx,DET,2
6,Xxx,NUM,1
7,Xxxx,PROPN,1
8,Xxxxx,PROPN,2
9,Xxxxx,SCONJ,1
10,other.,PUNCT,2
11,other.,VERB,1
12,x,DET,4
13,xx,ADP,8
14,xx,ADV,1
15,xx,AUX,2
16,xx,CCONJ,1
17,xx,DET,1
18,xx,PART,4
19,xx,PRON,9
20,xx,VERB,2
21,xxx,ADP,2
22,xxx,ADV,1
23,xxx,AUX,2
24,xxx,CCONJ,9
25,xxx,DET,9
26,xxx,NOUN,4
27,xxx,PRON,4
28,xxx,VERB,1
29,xxxx,ADJ,6
30,xxxx,ADP,6
31,xxxx,ADV,6
32,xxxx,AUX,4
33,xxxx,NOUN,24
34,xxxx,PRON,2
35,xxxx,SCONJ,2
36,xxxx,VERB,25
