,shape,pos,count
0,",",PUNCT,3
1,.,PUNCT,14
2,Xx,ADV,1
3,Xx,PRON,1
4,Xxx,CCONJ,2
5,Xxx,DET,1
6,Xxx,PRON,1
7,Xxxx,PRON,2
8,Xxxx,PROPN,6
9,Xxxxx,ADV,1
10,Xxxxx,PROPN,7
11,other.,PUNCT,2
12,x,DET,4
13,x'x,PART,1
14,xx,ADP,7
15,xx,ADV,2
16,xx,AUX,1
17,xx,DET,1
18,xx,PART,3
19,xx,PRON,9
20,xxx,ADP,4
21,xxx,ADV,2
22,xxx,AUX,8
23,xxx,CCONJ,12
24,xxx,DET,3
25,xxx,NOUN,5
26,xxx,NUM,2
27,xxx,PART,1
28,xxx,PRON,3
29,xxx,VERB,6
30,xxxx,ADJ,11
31,xxxx,ADP,5
32,xxxx,ADV,18
33,xxxx,AUX,8
34,xxxx,DET,2
35,xxxx,NOUN,16
36,xxxx,PRON,8
37,xxxx,SCONJ,6
38,xxxx,VERB,29
