,shape,pos,count
0,"""Xxx",DET,1
1,'x,PART,1
2,",",PUNCT,9
3,.,PUNCT,19
4,X,PRON,2
5,Xx,INTJ,2
6,Xx,PRON,4
7,Xxx,CCONJ,1
8,Xxx,DET,3
9,Xxxx,ADV,3
10,Xxxx,DET,2
11,Xxxx,INTJ,1
12,Xxxx,PRON,2
13,Xxxx,PROPN,4
14,Xxxx,VERB,1
15,Xxxxx,ADV,1
16,Xxxxx,INTJ,1
17,other.,PUNCT,7
18,x,DET,4
19,xx,ADP,4
20,xx,ADV,1
21,xx,DET,1
22,xx,PART,5
23,xx,PRON,7
24,xx,VERB,2
25,"xx!""Xxx",VERB,1
26,xxx,ADJ,2
27,xxx,ADP,2
28,xxx,AUX,5
29,xxx,CCONJ,6
30,xxx,DET,14
31,xxx,NOUN,3
32,xxx,PART,5
33,xxx,PRON,4
34,xxx,VERB,9
35,xxxx,ADJ,11
36,xxxx,ADP,2
37,xxxx,ADV,6
38,xxxx,AUX,7
39,xxxx,INTJ,1
40,xxxx,NOUN,26
41,xxxx,NUM,1
42,xxxx,PRON,2
43,xxxx,SCONJ,1
44,xxxx,VERB,22
