,shape,pos,count
0,'xx,AUX,1
1,",",PUNCT,19
2,.,PUNCT,15
3,X,DET,1
4,X,PRON,1
5,Xx,ADP,1
6,Xx,ADV,1
7,Xx,INTJ,1
8,Xx,PRON,4
9,Xxx,ADV,1
10,Xxx,AUX,1
11,Xxx,CCONJ,1
12,Xxx,PRON,2
13,Xxx,PROPN,4
14,Xxxx,ADJ,1
15,Xxxx,PRON,1
16,Xxxxx,NOUN,3
17,Xxxxx,PROPN,7
18,other.,PUNCT,12
19,x,DET,7
20,x'x,PART,1
21,xx,ADP,8
22,xx,AUX,1
23,xx,DET,1
24,xx,PART,4
25,xx,PRON,7
26,xx,SCONJ,1
27,xx,VERB,1
28,xxx,ADJ,1
29,xxx,ADP,2
30,xxx,ADV,1
31,xxx,AUX,3
32,xxx,CCONJ,10
33,xxx,DET,11
34,xxx,NOUN,4
35,xxx,PRON,4
36,xxx,VERB,3
37,xxxx,ADJ,17
38,xxxx,ADP,7
39,xxxx,ADV,8
40,xxxx,AUX,2
41,xxxx,DET,3
42,xxxx,INTJ,1
43,xxxx,NOUN,27
44,xxxx,NUM,1
45,xxxx,PRON,3
46,xxxx,PROPN,1
47,xxxx,VERB,30
