,shape,pos,count
0,'x,PART,1
1,",",PUNCT,12
2,.,PUNCT,10
3,Xx,ADP,3
4,Xx,PRON,1
5,Xxx,NUM,1
6,Xxx,PRON,1
7,Xxxx,ADV,2
8,Xxxx,DET,1
9,Xxxx,PROPN,5
10,Xxxxx,ADJ,1
11,Xxxxx,PROPN,10
12,other.,PUNCT,1
13,x,DET,7
14,xx,ADP,13
15,xx,ADV,1
16,xx,AUX,1
17,xx,PART,5
18,xx,PRON,5
19,xx,SCONJ,1
20,xx,VERB,1
21,xxx,ADJ,1
22,xxx,ADP,1
23,xxx,ADV,3
24,xxx,AUX,9
25,xxx,CCONJ,3
26,xxx,DET,11
27,xxx,NOUN,3
28,xxx,NUM,1
29,xxx,PRON,7
30,xxx,VERB,5
31,xxxx,ADJ,11
32,xxxx,ADP,2
33,xxxx,ADV,5
34,xxxx,AUX,1
35,xxxx,DET,2
36,xxxx,NOUN,27
37,xxxx,PRON,3
38,xxxx,SCONJ,3
39,xxxx,VERB,21
