,shape,pos,count
0,",",PUNCT,7
1,.,PUNCT,9
2,X,PRON,5
3,Xx,PRON,2
4,Xxx,CCONJ,1
5,Xxxx,ADV,1
6,Xxxx,DET,1
7,Xxxxx,ADJ,1
8,Xxxxx,NOUN,1
9,Xxxxx,PROPN,3
10,Xxxxx,VERB,1
11,other.,PUNCT,3
12,x,DET,3
13,xx,ADP,23
14,xx,ADV,1
15,xx,CCONJ,1
16,xx,DET,1
17,xx,PART,1
18,xx,PRON,11
19,xxx,ADP,3
20,xxx,AUX,4
21,xxx,CCONJ,4
22,xxx,DET,8
23,xxx,NOUN,1
24,xxx,NUM,2
25,xxx,PRON,6
26,xxx,VERB,5
27,xxxx,ADJ,10
28,xxxx,ADP,5
29,xxxx,ADV,8
30,xxxx,AUX,4
31,xxxx,DET,7
32,xxxx,NOUN,27
33,xxxx,NUM,3
34,xxxx,PRON,1
35,xxxx,SCONJ,4
36,xxxx,VERB,24
