,shape,pos,count
0,",",PUNCT,16
1,.,PUNCT,5
2,X,PRON,1
3,Xx,PRON,1
4,Xxx,ADV,1
5,Xxx,CCONJ,1
6,Xxx,DET,2
7,Xxx,PROPN,4
8,Xxxx,PRON,1
9,Xxxx,PROPN,1
10,Xxxxx,PROPN,9
11,other.,PUNCT,9
12,x,DET,8
13,x'xxxx,NOUN,1
14,xx,ADP,10
15,xx,ADV,1
16,xx,AUX,2
17,xx,DET,1
18,xx,PART,1
19,xx,PRON,4
20,xx,VERB,1
21,xxx,ADJ,1
22,xxx,ADP,3
23,xxx,AUX,1
24,xxx,CCONJ,7
25,xxx,DET,9
26,xxx,NOUN,5
27,xxx,NUM,1
28,xxx,PRON,6
29,xxx,VERB,5
30,xxxx,ADJ,13
31,xxxx,ADP,12
32,xxxx,ADV,14
33,xxxx,AUX,1
34,xxxx,DET,3
35,xxxx,NOUN,24
36,xxxx,NUM,1
37,xxxx,PRON,1
38,xxxx,SCONJ,1
39,xxxx,VERB,23
40,xxxx?Xx,NOUN,1
