,shape,pos,count
0,'x,PART,1
1,",",PUNCT,20
2,.,PUNCT,10
3,X,PROPN,1
4,Xx,ADP,1
5,Xxx,DET,2
6,Xxxx,ADP,1
7,Xxxx,ADV,2
8,Xxxxx,ADV,2
9,Xxxxx,NOUN,1
10,Xxxxx,PROPN,2
11,other.,NOUN,2
12,other.,PUNCT,8
13,x,DET,6
14,xx,ADP,16
15,xx,ADV,1
16,xx,AUX,4
17,xx,CCONJ,3
18,xx,DET,1
19,xx,PART,2
20,xx,PRON,3
21,xx,VERB,3
22,xxx,ADJ,4
23,xxx,ADP,2
24,xxx,AUX,5
25,xxx,CCONJ,2
26,xxx,DET,14
27,xxx,NOUN,7
28,xxx,PART,1
29,xxx,PRON,1
30,xxx,VERB,3
31,xxxx,ADJ,11
32,xxxx,ADP,7
33,xxxx,ADV,6
34,xxxx,AUX,1
35,xxxx,DET,3
36,xxxx,NOUN,32
37,xxxx,PRON,10
38,xxxx,SCONJ,5
39,xxxx,VERB,22
