,shape,pos,count
0,"""""X",PUNCT,1
1,"""""Xxxxx",VERB,1
2,"""Xx",INTJ,1
3,",",PUNCT,10
4,.,PUNCT,11
5,X,DET,1
6,X,PRON,3
7,Xx,PRON,1
8,Xx,VERB,1
9,Xxx,ADP,1
10,Xxx,DET,2
11,Xxx,PRON,2
12,Xxxxx,ADJ,1
13,Xxxxx,PRON,1
14,Xxxxx,PROPN,1
15,other.,PUNCT,6
16,x,DET,3
17,xx,ADP,13
18,xx,ADV,2
19,xx,AUX,2
20,xx,PART,4
21,xx,PRON,8
22,xx,VERB,3
23,xxx,ADJ,2
24,xxx,ADP,2
25,xxx,AUX,2
26,xxx,CCONJ,9
27,xxx,DET,8
28,xxx,NUM,1
29,xxx,PART,2
30,xxx,PRON,9
31,xxx,VERB,1
32,xxxx,ADJ,11
33,xxxx,ADP,6
34,xxxx,ADV,5
35,xxxx,AUX,6
36,xxxx,NOUN,31
37,xxxx,PRON,4
38,xxxx,SCONJ,2
39,xxxx,VERB,24
