,shape,pos,count
0,'x,PART,3
1,",",PUNCT,8
2,.,PUNCT,11
3,X,PRON,1
4,Xx,SCONJ,1
5,Xx.,PROPN,2
6,Xxx,DET,3
7,Xxx,NOUN,1
8,Xxxx,ADJ,1
9,Xxxx,ADV,1
10,Xxxxx,NOUN,2
11,Xxxxx,PROPN,7
12,x,DET,2
13,xx,ADP,10
14,xx,ADV,1
15,xx,AUX,7
16,xx,CCONJ,1
17,xx,DET,1
18,xx,PART,4
19,xx,PRON,1
20,xx,SCONJ,1
21,xx,VERB,2
22,xxx,ADP,3
23,xxx,AUX,7
24,xxx,CCONJ,4
25,xxx,DET,10
26,xxx,PRON,3
27,xxx,VERB,3
28,xxxx,ADJ,13
29,xxxx,ADP,5
30,xxxx,ADV,10
31,xxxx,AUX,1
32,xxxx,DET,3
33,xxxx,NOUN,32
34,xxxx,NUM,1
35,xxxx,PRON,1
36,xxxx,SCONJ,1
37,xxxx,VERB,18
