,shape,pos,count
0,"""X",PUNCT,1
1,'x,PART,1
2,",",PUNCT,16
3,.,PUNCT,9
4,X,PRON,2
5,Xxx,ADV,1
6,Xxx,NUM,1
7,Xxxx,ADJ,1
8,Xxxx,ADV,1
9,Xxxx,DET,1
10,Xxxx,PRON,1
11,Xxxxx,ADJ,3
12,Xxxxx,ADP,1
13,Xxxxx,DET,2
14,Xxxxx,PROPN,3
15,other.,PUNCT,5
16,xx,ADP,6
17,xx,ADV,2
18,xx,AUX,4
19,xx,PART,6
20,xx,PRON,4
21,xx,VERB,1
22,xxx,ADP,3
23,xxx,ADV,1
24,xxx,AUX,2
25,xxx,CCONJ,5
26,xxx,DET,25
27,xxx,NOUN,3
28,xxx,NUM,1
29,xxx,PART,1
30,xxx,PRON,6
31,xxx,VERB,1
32,"xxx?""""X",VERB,1
33,xxxx,ADJ,1
34,xxxx,ADV,6
35,xxxx,AUX,3
36,xxxx,DET,2
37,xxxx,NOUN,22
38,xxxx,PRON,1
39,xxxx,SCONJ,2
40,xxxx,VERB,24
