,shape,pos,count
0,'x,PART,1
1,",",PUNCT,7
2,.,PUNCT,8
3,XXX,PROPN,10
4,Xxxx,ADJ,1
5,Xxxx,DET,1
6,Xxxxx,ADV,1
7,Xxxxx,NOUN,1
8,Xxxxx,PRON,1
9,Xxxxx,PROPN,1
10,Xxxxx,VERB,2
11,other.,NUM,2
12,other.,SYM,1
13,x,DET,3
14,xx,ADP,7
15,xx,AUX,1
16,xx,PART,6
17,xx,PRON,2
18,xx,VERB,1
19,xxx,ADV,1
20,xxx,AUX,7
21,xxx,CCONJ,5
22,xxx,DET,2
23,xxx,NOUN,1
24,xxx,NUM,1
25,xxx,PART,1
26,xxx,VERB,1
27,xxxx,ADJ,11
28,xxxx,ADP,9
29,xxxx,ADV,5
30,xxxx,AUX,1
31,xxxx,DET,5
32,xxxx,NOUN,31
33,xxxx,NUM,2
34,xxxx,PRON,4
35,xxxx,SCONJ,3
36,xxxx,VERB,27
