,shape,pos,count
0,",",PUNCT,16
1,.,PUNCT,4
2,X,PRON,1
3,Xx,ADV,1
4,Xx,DET,1
5,Xxx,PRON,2
6,Xxx,PROPN,3
7,Xxxx,PROPN,3
8,Xxxxx,PROPN,4
9,other.,PART,1
10,other.,PUNCT,6
11,x,DET,3
12,xx,ADP,13
13,xx,ADV,1
14,xx,AUX,1
15,xx,PRON,2
16,xxx,ADP,4
17,xxx,ADV,2
18,xxx,AUX,1
19,xxx,CCONJ,8
20,xxx,DET,10
21,xxx,NOUN,1
22,xxx,NUM,1
23,xxx,PART,1
24,xxx,PRON,14
25,xxx,VERB,6
26,xxxx,ADJ,5
27,xxxx,ADP,4
28,xxxx,ADV,4
29,xxxx,AUX,1
30,xxxx,DET,2
31,xxxx,NOUN,35
32,xxxx,SCONJ,1
33,xxxx,VERB,19
34,"xxxx—""X",PROPN,1
