,shape,pos,count
0,'x,VERB,1
1,",",PUNCT,8
2,.,PUNCT,18
3,X,PRON,3
4,Xx,PRON,4
5,Xx.,PROPN,1
6,Xxx,ADV,1
7,Xxx,PRON,4
8,Xxx,PROPN,2
9,Xxxx,ADV,1
10,Xxxx,VERB,1
11,Xxxxx,PRON,3
12,Xxxxx,PROPN,2
13,other.,PUNCT,4
14,x,DET,13
15,x'x,PART,1
16,xx,ADP,10
17,xx,ADV,1
18,xx,AUX,7
19,xx,PART,1
20,xx,PRON,8
21,xxx,ADJ,3
22,xxx,ADP,1
23,xxx,AUX,4
24,xxx,CCONJ,12
25,xxx,DET,6
26,xxx,NOUN,4
27,xxx,PRON,5
28,xxx,VERB,5
29,xxxx,ADJ,7
30,xxxx,ADP,6
31,xxxx,ADV,5
32,xxxx,AUX,1
33,xxxx,DET,4
34,xxxx,NOUN,29
35,xxxx,NUM,2
36,xxxx,PRON,5
37,xxxx,SCONJ,1
38,xxxx,VERB,19
