,shape,pos,count
0,"""Xxxx",DET,1
1,"""Xxxx",PROPN,1
2,'x,AUX,1
3,'x,PART,2
4,",",PUNCT,5
5,.,PUNCT,14
6,X,PRON,1
7,Xx,PRON,1
8,Xx,VERB,1
9,Xxx,CCONJ,2
10,Xxx,DET,4
11,Xxx,PART,1
12,Xxx,PROPN,4
13,Xxxx,DET,1
14,Xxxx,VERB,1
15,Xxxxx,ADV,1
16,Xxxxx,PROPN,5
17,other.,PUNCT,6
18,x,ADV,1
19,x,DET,6
20,x'x,PART,1
21,xx,ADP,10
22,xx,AUX,2
23,xx,PART,2
24,xx,PRON,2
25,xx,SCONJ,2
26,xxx,ADP,1
27,xxx,AUX,3
28,xxx,CCONJ,4
29,xxx,DET,11
30,xxx,NOUN,3
31,xxx,PART,1
32,xxx,PRON,3
33,xxx,SCONJ,1
34,xxx,VERB,1
35,xxxx,ADJ,8
36,xxxx,ADP,3
37,xxxx,ADV,4
38,xxxx,AUX,1
39,xxxx,DET,2
40,xxxx,NOUN,24
41,xxxx,PRON,1
42,xxxx,SCONJ,1
43,xxxx,VERB,18
44,"xxxx!""Xxx",ADV,1
