,shape,pos,count
0,",",PUNCT,10
1,.,PUNCT,13
2,X,DET,3
3,XX,PROPN,3
4,Xx,ADP,3
5,Xx,PRON,1
6,Xxx,DET,2
7,Xxxx,DET,1
8,Xxxx,PROPN,1
9,Xxxxx,ADJ,1
10,Xxxxx,ADP,1
11,Xxxxx,ADV,1
12,Xxxxx,DET,1
13,Xxxxx,PROPN,7
14,ddxx,ADJ,1
15,dxx,ADJ,2
16,other.,NUM,1
17,other.,PUNCT,14
18,x,DET,3
19,xx,ADP,10
20,xx,AUX,4
21,xx,CCONJ,2
22,xx,DET,1
23,xx,PART,3
24,xx,PRON,2
25,xx,VERB,1
26,xxx,ADP,1
27,xxx,ADV,2
28,xxx,AUX,1
29,xxx,CCONJ,4
30,xxx,DET,9
31,xxx,NOUN,1
32,xxx,PRON,5
33,xxx,VERB,5
34,xxxx,ADJ,10
35,xxxx,ADP,4
36,xxxx,ADV,5
37,xxxx,AUX,2
38,xxxx,DET,1
39,xxxx,NOUN,41
40,xxxx,PRON,9
41,xxxx,SCONJ,4
42,xxxx,VERB,18
43,xxxx',VERB,1
