,shape,pos,count
0,'x,PART,1
1,",",PUNCT,13
2,.,PUNCT,6
3,X,PRON,1
4,Xx,ADP,1
5,Xxx,CCONJ,1
6,Xxx,DET,3
7,Xxx,PROPN,1
8,Xxxx,NOUN,1
9,Xxxxx,ADJ,1
10,Xxxxx,PROPN,15
11,other.,PUNCT,7
12,x,DET,4
13,xx,ADP,21
14,xx,AUX,1
15,xx,CCONJ,1
16,xx,PRON,2
17,xx,VERB,1
18,xxx,ADJ,2
19,xxx,ADP,3
20,xxx,ADV,2
21,xxx,AUX,4
22,xxx,CCONJ,9
23,xxx,DET,12
24,xxx,NOUN,3
25,xxx,NUM,2
26,xxx,PRON,2
27,xxx,VERB,4
28,xxxx,ADJ,14
29,xxxx,ADP,6
30,xxxx,ADV,3
31,xxxx,AUX,1
32,xxxx,DET,6
33,xxxx,NOUN,26
34,xxxx,PRON,6
35,xxxx,VERB,7
