,shape,pos,count
0,",",PUNCT,15
1,.,PUNCT,8
2,X,PRON,1
3,Xxx,DET,2
4,Xxx,PART,1
5,Xxxx,ADJ,1
6,Xxxxx,ADJ,1
7,Xxxxx,ADP,1
8,Xxxxx,PRON,2
9,Xxxxx,PROPN,7
10,other.,PUNCT,4
11,x,DET,4
12,xx,ADP,16
13,xx,ADV,3
14,xx,PART,2
15,xx,PRON,1
16,xx,SCONJ,2
17,xxx,ADJ,2
18,xxx,ADP,1
19,xxx,ADV,1
20,xxx,AUX,5
21,xxx,CCONJ,7
22,xxx,DET,16
23,xxx,NOUN,2
24,xxx,PRON,5
25,xxx,VERB,1
26,xxxx,ADJ,17
27,xxxx,ADP,10
28,xxxx,ADV,9
29,xxxx,AUX,6
30,xxxx,DET,1
31,xxxx,NOUN,38
32,xxxx,PRON,8
33,xxxx,SCONJ,1
34,xxxx,VERB,20
