,shape,pos,count
0,"""""Xxxx",VERB,1
1,'x,PART,3
2,",",PUNCT,19
3,.,PUNCT,8
4,X,DET,1
5,X,PRON,1
6,Xxx,DET,2
7,Xxx,PROPN,4
8,Xxxx,ADV,2
9,Xxxx,DET,1
10,Xxxx,PROPN,5
11,Xxxxx,PROPN,3
12,other.,PUNCT,3
13,x,DET,2
14,xx,ADP,12
15,xx,ADV,1
16,xx,AUX,1
17,xx,PART,3
18,xx,PRON,11
19,xx,SCONJ,1
20,xx,VERB,2
21,xxx,ADJ,1
22,xxx,ADP,3
23,xxx,AUX,3
24,xxx,CCONJ,9
25,xxx,DET,12
26,xxx,NOUN,3
27,xxx,PRON,8
28,xxx,VERB,3
29,xxxx,ADJ,5
30,xxxx,ADP,7
31,xxxx,ADV,10
32,xxxx,AUX,1
33,xxxx,DET,2
34,xxxx,NOUN,20
35,xxxx,PRON,4
36,xxxx,SCONJ,2
37,xxxx,VERB,26
38,"xxxx—""Xxxx",VERB,1
