,shape,pos,count
0,"""Xx",INTJ,1
1,",",PUNCT,13
2,.,PUNCT,12
3,X,PRON,1
4,Xx,PRON,3
5,Xx,SCONJ,1
6,Xx.,PROPN,3
7,Xxx,ADV,1
8,Xxx,CCONJ,1
9,Xxx,DET,2
10,Xxxx,ADV,1
11,Xxxx,PROPN,2
12,Xxxxx,PROPN,8
13,other.,PUNCT,12
14,x,DET,10
15,x'x,PART,1
16,xx,ADP,12
17,xx,ADV,1
18,xx,AUX,5
19,xx,PART,1
20,xx,PRON,11
21,xx,SCONJ,2
22,xxx,ADJ,3
23,xxx,ADP,4
24,xxx,AUX,2
25,xxx,CCONJ,7
26,xxx,DET,11
27,xxx,NOUN,8
28,xxx,NUM,1
29,xxx,PART,1
30,xxx,PRON,5
31,xxx,VERB,5
32,xxxx,ADJ,9
33,xxxx,ADP,2
34,xxxx,ADV,3
35,xxxx,AUX,4
36,xxxx,DET,2
37,xxxx,NOUN,21
38,xxxx,PRON,4
39,xxxx,SCONJ,2
40,xxxx,VERB,18
