,shape,pos,count
0,",",PUNCT,6
1,.,PUNCT,8
2,XXX,NOUN,1
3,Xx,DET,1
4,Xxx,ADP,1
5,Xxx,DET,1
6,Xxxx,ADP,1
7,Xxxx,DET,1
8,Xxxx,PRON,2
9,Xxxxx,NOUN,1
10,other.,PUNCT,2
11,x,DET,4
12,xx,ADP,9
13,xx,AUX,2
14,xx,CCONJ,4
15,xx,DET,1
16,xx,PART,2
17,xx,PRON,4
18,xx,SCONJ,2
19,xx,VERB,5
20,xxx,ADJ,2
21,xxx,ADP,1
22,xxx,ADV,1
23,xxx,AUX,5
24,xxx,CCONJ,4
25,xxx,DET,11
26,xxx,NOUN,1
27,xxx,NUM,3
28,xxx,PRON,3
29,xxx,VERB,4
30,xxxx,ADJ,13
31,xxxx,ADP,1
32,xxxx,ADV,6
33,xxxx,DET,7
34,xxxx,NOUN,37
35,xxxx,PRON,1
36,xxxx,SCONJ,1
37,xxxx,VERB,11
