,shape,pos,count
0,'x,PART,1
1,'x,VERB,1
2,",",PUNCT,10
3,.,PUNCT,16
4,X,PRON,3
5,Xx,ADP,1
6,Xx,PRON,4
7,Xxx,DET,1
8,Xxx,NUM,2
9,Xxx,PRON,2
10,Xxx,PROPN,8
11,Xxxx,ADV,1
12,Xxxx,AUX,1
13,Xxxx,PROPN,1
14,Xxxxx,ADV,1
15,Xxxxx,DET,1
16,Xxxxx,PROPN,6
17,other.,PUNCT,12
18,x,DET,1
19,x'x,PART,2
20,xx,ADP,10
21,xx,AUX,1
22,xx,PART,1
23,xx,PRON,3
24,xxx,ADP,2
25,xxx,AUX,1
26,xxx,CCONJ,6
27,xxx,DET,13
28,xxx,NOUN,4
29,xxx,NUM,3
30,xxx,PRON,11
31,xxx,VERB,6
32,xxxx,ADJ,8
33,xxxx,ADP,6
34,xxxx,ADV,6
35,xxxx,AUX,3
36,xxxx,DET,2
37,xxxx,NOUN,30
38,xxxx,PRON,10
39,xxxx,VERB,30
