,shape,pos,count
0,"""""Xxxxx",PUNCT,1
1,"""Xxxxx",PUNCT,1
2,'xx,AUX,1
3,",",PUNCT,9
4,.,PUNCT,11
5,X,PRON,5
6,XXXX,NOUN,1
7,Xx,ADV,1
8,Xx,AUX,1
9,Xx,SCONJ,1
10,Xx.,PROPN,1
11,Xxx,CCONJ,2
12,Xxx,PRON,3
13,Xxx,PROPN,1
14,Xxxx,PROPN,1
15,Xxxxx,PRON,2
16,Xxxxx,PROPN,4
17,other.,PUNCT,19
18,x,DET,2
19,xx,ADP,12
20,xx,ADV,2
21,xx,AUX,1
22,xx,PART,3
23,xx,PRON,9
24,xx,SCONJ,2
25,xx,VERB,3
26,xxx,ADJ,1
27,xxx,ADP,1
28,xxx,ADV,2
29,xxx,AUX,3
30,xxx,CCONJ,11
31,xxx,DET,10
32,xxx,NOUN,1
33,xxx,NUM,1
34,xxx,PART,1
35,xxx,PRON,15
36,xxx,VERB,3
37,xxxx,ADJ,9
38,xxxx,ADP,7
39,xxxx,ADV,12
40,xxxx,AUX,4
41,xxxx,DET,3
42,xxxx,NOUN,19
43,xxxx,PRON,4
44,xxxx,SCONJ,3
45,xxxx,VERB,30
46,"xxxx!""Xx",NOUN,1
