,shape,pos,count
0,"""""X",PUNCT,1
1,"""Xx",NOUN,1
2,"""Xx",PUNCT,2
3,'x,AUX,1
4,",",PUNCT,20
5,.,PUNCT,10
6,X,PRON,7
7,Xx,VERB,1
8,Xxx,ADV,1
9,Xxx,CCONJ,1
10,Xxx,PRON,2
11,Xxxx!—Xxx,NOUN,1
12,Xxxxx,ADV,1
13,Xxxxx,PROPN,7
14,other.,PUNCT,17
15,x,DET,3
16,xx,ADP,10
17,xx,AUX,1
18,xx,PRON,4
19,xx,VERB,1
20,xxx,ADP,2
21,xxx,ADV,2
22,xxx,AUX,4
23,xxx,CCONJ,4
24,xxx,DET,12
25,xxx,NOUN,1
26,xxx,PART,1
27,xxx,PRON,4
28,xxx,VERB,4
29,xxxx,ADJ,7
30,xxxx,ADP,1
31,xxxx,ADV,9
32,xxxx,AUX,7
33,xxxx,DET,3
34,xxxx,NOUN,20
35,xxxx,PRON,2
36,xxxx,SCONJ,1
37,xxxx,VERB,22
38,"xxxx!""""Xx",NOUN,1
39,"xxxx?""""Xxx",NOUN,1
