,shape,pos,count
0,"""Xxx",X,1
1,"""Xxxx",VERB,1
2,",",PUNCT,12
3,.,PUNCT,11
4,X,PRON,5
5,Xx,INTJ,1
6,Xx,PRON,1
7,Xxx,ADV,2
8,Xxx,CCONJ,4
9,Xxxxx,ADV,1
10,other.,PUNCT,19
11,x,DET,6
12,xx,ADP,7
13,xx,ADV,2
14,xx,AUX,2
15,xx,DET,1
16,xx,PART,1
17,xx,PRON,5
18,xx,SCONJ,1
19,xx,VERB,1
20,"xx!""""Xx",PROPN,1
21,xxx,ADP,3
22,xxx,ADV,4
23,xxx,AUX,3
24,xxx,CCONJ,4
25,xxx,DET,8
26,xxx,NOUN,7
27,xxx,PART,5
28,xxx,PRON,11
29,xxx,VERB,2
30,xxxx,ADJ,3
31,xxxx,ADP,5
32,xxxx,ADV,7
33,xxxx,AUX,7
34,xxxx,DET,1
35,xxxx,NOUN,12
36,xxxx,PRON,1
37,xxxx,VERB,22
