,shape,pos,count
0,"""X",PUNCT,1
1,"""Xxx",PUNCT,1
2,'x,PART,3
3,",",PUNCT,7
4,.,PUNCT,11
5,X,PRON,2
6,Xx,ADP,1
7,Xx,PRON,1
8,Xxx,ADV,1
9,Xxx,CCONJ,1
10,Xxx,NUM,1
11,Xxx,PRON,1
12,Xxxx,ADJ,1
13,Xxxx,PROPN,1
14,Xxxxx,PROPN,6
15,other.,PUNCT,5
16,x,DET,4
17,x'x,PART,1
18,xx,ADP,18
19,xx,ADV,5
20,xx,AUX,5
21,xx,DET,1
22,xx,PART,2
23,xx,PRON,5
24,xx,SCONJ,1
25,xx,VERB,1
26,xxx,ADJ,3
27,xxx,ADP,2
28,xxx,ADV,2
29,xxx,AUX,4
30,xxx,CCONJ,4
31,xxx,DET,12
32,xxx,NOUN,8
33,xxx,PART,1
34,xxx,PRON,4
35,xxx,SCONJ,1
36,xxx,VERB,2
37,xxxx,ADJ,15
38,xxxx,ADP,4
39,xxxx,ADV,7
40,xxxx,AUX,8
41,xxxx,DET,4
42,xxxx,NOUN,28
43,xxxx,PRON,1
44,xxxx,SCONJ,5
45,xxxx,VERB,17
