,shape,pos,count
0,",",PUNCT,10
1,.,PUNCT,9
2,Xx,SCONJ,1
3,Xxx,DET,1
4,Xxxx,ADV,1
5,Xxxx,DET,2
6,Xxxxx,ADP,1
7,Xxxxx,ADV,1
8,Xxxxx,NOUN,2
9,Xxxxx,VERB,1
10,other.,PUNCT,9
11,x,DET,6
12,xx,ADP,14
13,xx,ADV,1
14,xx,AUX,4
15,xx,CCONJ,1
16,xx,DET,1
17,xx,PART,6
18,xx,PRON,3
19,xx,SCONJ,1
20,xx,VERB,1
21,xxx,ADP,4
22,xxx,ADV,1
23,xxx,AUX,3
24,xxx,CCONJ,3
25,xxx,DET,7
26,xxx,NUM,1
27,xxx,PRON,3
28,xxx,VERB,2
29,xxxx,ADJ,15
30,xxxx,ADP,1
31,xxxx,ADV,11
32,xxxx,AUX,8
33,xxxx,DET,4
34,xxxx,NOUN,35
35,xxxx,PRON,4
36,xxxx,SCONJ,1
37,xxxx,VERB,21
