,shape,pos,count
0,"""""X",PUNCT,1
1,"""""Xx",PUNCT,1
2,'x,VERB,1
3,'xx,AUX,2
4,'xx,VERB,1
5,",",PUNCT,16
6,.,PUNCT,8
7,X,PRON,7
8,Xx,ADV,1
9,Xxx,CCONJ,1
10,Xxx,PRON,2
11,Xxxx,ADV,1
12,Xxxx,PROPN,2
13,Xxxxx,PROPN,7
14,Xxxxx,VERB,1
15,other.,PUNCT,12
16,x,DET,5
17,x'x,PART,1
18,xx,ADP,13
19,xx,ADV,2
20,xx,INTJ,1
21,xx,PART,3
22,xx,PRON,9
23,xx,VERB,4
24,xxx,ADV,1
25,xxx,AUX,3
26,xxx,CCONJ,2
27,xxx,DET,11
28,xxx,NOUN,1
29,xxx,PART,1
30,xxx,PRON,13
31,xxx,VERB,4
32,xxxx,ADJ,10
33,xxxx,ADP,4
34,xxxx,ADV,10
35,xxxx,AUX,9
36,xxxx,DET,3
37,xxxx,NOUN,22
38,xxxx,SCONJ,2
39,xxxx,VERB,22
