,shape,pos,count
0,",",PUNCT,11
1,.,PUNCT,9
2,Xx,DET,1
3,Xx,PRON,1
4,Xxx,DET,2
5,Xxxx,DET,2
6,Xxxx,PRON,1
7,Xxxxx,ADP,1
8,Xxxxx,NOUN,1
9,Xxxxx,PROPN,2
10,Xxxxx,SCONJ,1
11,x,DET,2
12,xx,ADP,21
13,xx,AUX,5
14,xx,CCONJ,1
15,xx,DET,1
16,xx,PART,4
17,xx,PRON,1
18,xx,SCONJ,1
19,xx,VERB,1
20,xxx,ADJ,2
21,xxx,ADP,3
22,xxx,ADV,1
23,xxx,AUX,1
24,xxx,CCONJ,7
25,xxx,DET,12
26,xxx,NUM,1
27,xxx,PRON,1
28,xxx,VERB,1
29,xxxx,ADJ,12
30,xxxx,ADP,1
31,xxxx,ADV,7
32,xxxx,AUX,10
33,xxxx,DET,8
34,xxxx,NOUN,45
35,xxxx,PRON,4
36,xxxx,SCONJ,4
37,xxxx,VERB,20
