,shape,pos,count
0,",",PUNCT,9
1,.,PUNCT,15
2,X,PRON,16
3,Xx,ADP,1
4,Xx,PRON,3
5,Xx,SCONJ,1
6,Xxx,CCONJ,1
7,Xxxxx,ADP,1
8,Xxxxx,PROPN,1
9,x,DET,7
10,x'x,PART,1
11,xx,ADP,6
12,xx,ADV,1
13,xx,PART,6
14,xx,PRON,5
15,xx,VERB,4
16,xxx,ADJ,2
17,xxx,ADP,4
18,xxx,ADV,2
19,xxx,AUX,6
20,xxx,CCONJ,8
21,xxx,DET,2
22,xxx,NOUN,1
23,xxx,PART,1
24,xxx,PRON,6
25,xxx,VERB,6
26,xxxx,ADJ,9
27,xxxx,ADP,2
28,xxxx,ADV,9
29,xxxx,AUX,2
30,xxxx,DET,1
31,xxxx,NOUN,32
32,xxxx,NUM,3
33,xxxx,PRON,1
34,xxxx,SCONJ,1
35,xxxx,VERB,21
