,shape,pos,count
0,"""Xxx",DET,1
1,"""Xxxx",VERB,1
2,'x,PART,1
3,",",PUNCT,9
4,.,PUNCT,10
5,X,PRON,2
6,Xxx,DET,1
7,Xxx,PRON,4
8,Xxxx,DET,1
9,Xxxx,NOUN,2
10,Xxxx,PROPN,2
11,Xxxxx,ADV,1
12,Xxxxx,INTJ,1
13,Xxxxx,PROPN,2
14,other.,PUNCT,7
15,x,DET,4
16,xx,ADP,10
17,xx,ADV,2
18,xx,AUX,2
19,xx,CCONJ,1
20,xx,PART,6
21,xx,PRON,3
22,xx,SCONJ,1
23,xx,VERB,2
24,xxx,ADJ,4
25,xxx,ADP,3
26,xxx,AUX,5
27,xxx,CCONJ,5
28,xxx,DET,11
29,xxx,NOUN,4
30,xxx,PART,2
31,xxx,PRON,13
32,xxx,VERB,6
33,xxxx,ADJ,13
34,xxxx,ADP,4
35,xxxx,ADV,18
36,xxxx,AUX,4
37,xxxx,DET,3
38,xxxx,INTJ,1
39,xxxx,NOUN,25
40,xxxx,PRON,3
41,xxxx,SCONJ,3
42,xxxx,VERB,19
