,shape,pos,count
0,",",PUNCT,8
1,.,PUNCT,9
2,XXX,PROPN,5
3,XXXx,PROPN,1
4,Xx,ADP,1
5,Xxx,ADP,1
6,Xxx,DET,1
7,Xxxx,ADJ,1
8,Xxxx,AUX,1
9,Xxxx,DET,3
10,Xxxxx,NOUN,1
11,Xxxxx,PROPN,2
12,Xxxxx,VERB,1
13,other.,PUNCT,1
14,x,DET,6
15,xx,ADP,5
16,xx,AUX,3
17,xx,DET,1
18,xx,PART,6
19,xx,PRON,1
20,xx,VERB,2
21,xxx,AUX,3
22,xxx,CCONJ,4
23,xxx,DET,10
24,xxx,PART,1
25,xxx,PRON,2
26,xxx,VERB,2
27,xxxx,ADJ,20
28,xxxx,ADP,5
29,xxxx,ADV,11
30,xxxx,AUX,2
31,xxxx,DET,3
32,xxxx,NOUN,33
33,xxxx,PRON,3
34,xxxx,SCONJ,7
35,xxxx,VERB,24
