,shape,pos,count
0,'x,PART,3
1,",",PUNCT,7
2,.,PUNCT,12
3,X,DET,2
4,Xx,ADP,1
5,Xx,PRON,2
6,Xxxx,ADV,2
7,Xxxx,DET,2
8,Xxxx,NOUN,1
9,Xxxx,PRON,1
10,Xxxxx,ADJ,1
11,Xxxxx,DET,1
12,Xxxxx,PROPN,1
13,ddxx,ADJ,1
14,ddxx,NOUN,1
15,x,DET,13
16,xx,ADP,20
17,xx,ADV,2
18,xx,AUX,4
19,xx,CCONJ,2
20,xx,DET,2
21,xx,PART,1
22,xxx,AUX,4
23,xxx,CCONJ,1
24,xxx,DET,15
25,xxx,NOUN,3
26,xxx,NUM,4
27,xxx,PART,2
28,xxxx,ADJ,14
29,xxxx,ADP,6
30,xxxx,ADV,3
31,xxxx,AUX,2
32,xxxx,DET,1
33,xxxx,NOUN,47
34,xxxx,NUM,1
35,xxxx,SCONJ,2
36,xxxx,VERB,11
