,shape,pos,count
0,"""Xxx",PUNCT,1
1,",",PUNCT,10
2,.,PUNCT,6
3,X,DET,1
4,X,INTJ,1
5,X,PRON,4
6,Xxx,PRON,1
7,Xxxx,PROPN,1
8,Xxxxx,ADV,1
9,Xxxxx,PROPN,5
10,other.,PUNCT,6
11,x,DET,2
12,xx,ADP,7
13,xx,ADV,1
14,xx,AUX,1
15,xx,DET,2
16,xx,PART,6
17,xx,PRON,5
18,xx,VERB,1
19,xxx,ADJ,3
20,xxx,ADP,1
21,xxx,ADV,1
22,xxx,AUX,2
23,xxx,CCONJ,7
24,xxx,DET,5
25,xxx,NOUN,1
26,xxx,NUM,1
27,xxx,PART,3
28,xxx,PRON,9
29,xxx,VERB,5
30,xxxx,ADJ,6
31,xxxx,ADP,7
32,xxxx,ADV,6
33,xxxx,AUX,4
34,xxxx,DET,1
35,xxxx,NOUN,25
36,xxxx,NUM,1
37,xxxx,SCONJ,3
38,xxxx,VERB,22
