,shape,pos,count
0,",",PUNCT,12
1,.,PUNCT,6
2,X,PRON,4
3,Xx,ADP,1
4,Xx,ADV,1
5,Xx,PRON,1
6,Xxx,CCONJ,1
7,Xxx,NUM,1
8,Xxxx,ADV,1
9,other.,PUNCT,12
10,x,DET,4
11,xx,ADP,14
12,xx,ADV,1
13,xx,AUX,6
14,xx,PART,1
15,xx,PRON,5
16,xx,VERB,1
17,xxx,ADP,2
18,xxx,ADV,2
19,xxx,AUX,1
20,xxx,CCONJ,8
21,xxx,DET,25
22,xxx,NOUN,1
23,xxx,PART,2
24,xxx,PRON,3
25,xxx,VERB,4
26,xxxx,ADJ,14
27,xxxx,ADP,9
28,xxxx,ADV,12
29,xxxx,AUX,4
30,xxxx,DET,5
31,xxxx,NOUN,34
32,xxxx,NUM,2
33,xxxx,PRON,6
34,xxxx,SCONJ,2
35,xxxx,VERB,20
