,shape,pos,count
0,",",PUNCT,19
1,.,PUNCT,9
2,X,PRON,3
3,Xx,ADP,1
4,Xx,PRON,1
5,Xxx,CCONJ,1
6,Xxx,DET,3
7,Xxxxx,ADJ,1
8,Xxxxx,PROPN,2
9,Xxxxx,VERB,1
10,other.,PUNCT,3
11,x,DET,5
12,xx,ADP,17
13,xx,ADV,2
14,xx,AUX,1
15,xx,DET,1
16,xx,PRON,5
17,xx,VERB,1
18,xxx,ADP,2
19,xxx,AUX,5
20,xxx,CCONJ,7
21,xxx,DET,20
22,xxx,NOUN,1
23,xxx,PRON,2
24,xxx,VERB,1
25,xxxx,ADJ,10
26,xxxx,ADP,3
27,xxxx,ADV,15
28,xxxx,AUX,10
29,xxxx,CCONJ,1
30,xxxx,DET,5
31,xxxx,NOUN,41
32,xxxx,PRON,3
33,xxxx,SCONJ,5
34,xxxx,VERB,18
