,shape,pos,count
0,'x,PART,1
1,'xx,AUX,1
2,",",PUNCT,11
3,.,PUNCT,9
4,X,PRON,6
5,Xxx,PRON,4
6,Xxx.,PROPN,1
7,Xxxx,DET,1
8,Xxxx,PRON,1
9,Xxxxx,PROPN,9
10,other.,PUNCT,4
11,x,DET,6
12,xx,ADP,13
13,xx,ADV,1
14,xx,DET,1
15,xx,PART,1
16,xx,PRON,4
17,xxx,ADJ,1
18,xxx,ADP,3
19,xxx,AUX,6
20,xxx,CCONJ,7
21,xxx,DET,3
22,xxx,NOUN,1
23,xxx,NUM,2
24,xxx,PRON,13
25,xxx,VERB,6
26,xxxx,ADJ,6
27,xxxx,ADP,4
28,xxxx,ADV,15
29,xxxx,AUX,2
30,xxxx,CCONJ,1
31,xxxx,DET,3
32,xxxx,NOUN,22
33,xxxx,NUM,7
34,xxxx,PRON,1
35,xxxx,SCONJ,4
36,xxxx,VERB,18
