,shape,pos,count
0,"""Xx",NOUN,1
1,'x,PART,1
2,",",PUNCT,11
3,.,PUNCT,9
4,Xx,PRON,1
5,Xx.,PROPN,1
6,Xxx,CCONJ,1
7,Xxx,NUM,1
8,Xxx,PRON,1
9,Xxxx,PROPN,3
10,Xxxxx,PRON,1
11,Xxxxx,PROPN,14
12,other.,PUNCT,5
13,x,DET,5
14,xx,ADP,12
15,xx,DET,1
16,xx,PART,3
17,xx,VERB,1
18,xxx,ADP,4
19,xxx,AUX,11
20,xxx,CCONJ,11
21,xxx,DET,9
22,xxx,NOUN,2
23,xxx,NUM,1
24,xxx,PART,2
25,xxx,PRON,9
26,xxxx,ADJ,13
27,xxxx,ADP,7
28,xxxx,ADV,7
29,xxxx,AUX,4
30,xxxx,DET,1
31,xxxx,NOUN,32
32,xxxx,NUM,2
33,xxxx,PRON,5
34,xxxx,SCONJ,1
35,xxxx,VERB,22
