,shape,pos,count
0,'x,PART,2
1,",",PUNCT,18
2,.,PUNCT,7
3,Xx,PRON,1
4,Xx.,PROPN,1
5,Xxx,ADV,1
6,Xxx,DET,2
7,Xxx,PROPN,2
8,Xxxx,NOUN,4
9,Xxxx,PROPN,3
10,Xxxx'x,INTJ,1
11,Xxxxx,PROPN,2
12,other.,PUNCT,7
13,x,DET,8
14,xx,ADP,13
15,xx,ADV,1
16,xx,AUX,1
17,xx,CCONJ,1
18,xx,PART,1
19,xx,PRON,6
20,xx,VERB,1
21,xxx,ADJ,2
22,xxx,ADP,1
23,xxx,AUX,6
24,xxx,CCONJ,8
25,xxx,DET,10
26,xxx,NOUN,2
27,xxx,PART,1
28,xxx,PRON,2
29,xxx,VERB,3
30,xxxx,ADJ,8
31,xxxx,ADP,2
32,xxxx,ADV,15
33,xxxx,AUX,1
34,xxxx,DET,2
35,xxxx,NOUN,30
36,xxxx,NUM,2
37,xxxx,PRON,4
38,xxxx,VERB,12
39,xxxx?Xx,DET,1
