,shape,pos,count
0,"""""X",PUNCT,1
1,"""X",PUNCT,1
2,"""Xx",PUNCT,1
3,'x,AUX,1
4,'x,PART,3
5,",",PUNCT,13
6,.,PUNCT,12
7,X,PRON,1
8,Xx,DET,1
9,Xx,PRON,2
10,Xxxx,ADV,1
11,Xxxx,PRON,1
12,Xxxxx,ADJ,1
13,Xxxxx,ADV,1
14,Xxxxx,NOUN,2
15,Xxxxx,PRON,1
16,Xxxxx,PROPN,6
17,Xxxxx,VERB,1
18,other.,PUNCT,18
19,x,DET,2
20,x,NOUN,1
21,x'x,PART,1
22,xx,ADP,10
23,xx,ADV,1
24,xx,AUX,1
25,xx,PRON,2
26,xx,VERB,1
27,xxx,ADJ,1
28,xxx,ADP,1
29,xxx,ADV,2
30,xxx,AUX,4
31,xxx,CCONJ,6
32,xxx,DET,13
33,xxx,NOUN,3
34,xxx,PRON,4
35,xxx,VERB,2
36,xxxx,ADJ,13
37,xxxx,ADP,6
38,xxxx,ADV,6
39,xxxx,AUX,2
40,xxxx,DET,4
41,xxxx,NOUN,31
42,xxxx,PRON,3
43,xxxx,VERB,20
44,"xxxx!""""Xxxx",ADV,1
45,"xxxx!""Xxx",INTJ,1
46,xxxx'xxx,NOUN,1
47,"xxxx?""Xxx",NOUN,1
