,shape,pos,count
0,'xx,AUX,1
1,'xx,VERB,1
2,",",PUNCT,18
3,.,PUNCT,8
4,X,PRON,9
5,Xx,ADP,1
6,Xx,ADV,1
7,Xx,SCONJ,1
8,Xxx,ADV,1
9,Xxx,DET,1
10,Xxxx,ADV,1
11,Xxxxx,PRON,1
12,Xxxxx,PROPN,5
13,other.,PUNCT,5
14,x,DET,4
15,xx,ADP,12
16,xx,AUX,3
17,xx,DET,2
18,xx,PART,2
19,xx,PRON,6
20,xx,VERB,2
21,xxx,ADP,2
22,xxx,ADV,1
23,xxx,AUX,6
24,xxx,CCONJ,9
25,xxx,DET,8
26,xxx,NOUN,3
27,xxx,PART,1
28,xxx,PRON,2
29,xxx,VERB,2
30,xxxx,ADJ,7
31,xxxx,ADP,3
32,xxxx,ADV,5
33,xxxx,AUX,5
34,xxxx,DET,6
35,xxxx,INTJ,1
36,xxxx,NOUN,29
37,xxxx,NUM,1
38,xxxx,PRON,3
39,xxxx,SCONJ,1
40,xxxx,VERB,17
