,shape,pos,count
0,",",PUNCT,6
1,.,PROPN,1
2,.,PUNCT,13
3,XX,PROPN,1
4,XXX,PROPN,1
5,XXXX,PROPN,1
6,Xx,ADP,1
7,Xx,PRON,3
8,Xx,PROPN,1
9,Xxx,DET,6
10,Xxx,PROPN,1
11,Xxxx,DET,1
12,Xxxxx,ADJ,1
13,Xxxxx,NOUN,2
14,Xxxxx,PROPN,11
15,other.,NUM,3
16,other.,PUNCT,5
17,x,DET,5
18,xx,ADP,16
19,xx,ADV,1
20,xx,AUX,3
21,xx,DET,2
22,xx,PART,1
23,xxx,ADP,3
24,xxx,ADV,1
25,xxx,AUX,7
26,xxx,CCONJ,4
27,xxx,DET,10
28,xxx,NOUN,1
29,xxxx,ADJ,9
30,xxxx,ADP,2
31,xxxx,ADV,2
32,xxxx,DET,3
33,xxxx,NOUN,39
34,xxxx,VERB,16
