,shape,pos,count
0,"""Xxx",PUNCT,1
1,'x,PART,1
2,",",PUNCT,16
3,.,PUNCT,5
4,X,PRON,4
5,Xx,PRON,3
6,Xxx,ADV,1
7,Xxx,CCONJ,1
8,Xxx,DET,1
9,Xxx,PROPN,4
10,Xxxx,PROPN,4
11,Xxxx,VERB,1
12,Xxxxx,NOUN,1
13,Xxxxx,PROPN,3
14,other.,PUNCT,9
15,xx,ADP,10
16,xx,AUX,2
17,xx,PART,2
18,xx,PRON,9
19,xx,SCONJ,2
20,xx,VERB,3
21,xxx,ADP,1
22,xxx,ADV,1
23,xxx,AUX,5
24,xxx,CCONJ,6
25,xxx,DET,6
26,xxx,NOUN,4
27,xxx,PRON,8
28,xxx,VERB,2
29,xxxx,ADJ,9
30,xxxx,ADP,3
31,xxxx,ADV,3
32,xxxx,AUX,1
33,xxxx,DET,2
34,xxxx,NOUN,21
35,xxxx,SCONJ,3
36,xxxx,VERB,18
37,"xxxx?""Xx",PROPN,1
