,shape,pos,count
0,",",PUNCT,9
1,.,PUNCT,6
2,Xx,ADP,1
3,Xx,PRON,2
4,Xxx,DET,2
5,Xxxxx,ADJ,2
6,Xxxxx,ADP,1
7,Xxxxx,NOUN,1
8,Xxxxx,PRON,1
9,Xxxxx,PROPN,24
10,other.,NOUN,1
11,other.,PUNCT,2
12,x,DET,3
13,xx,ADP,9
14,xx,ADV,1
15,xx,AUX,1
16,xx,CCONJ,1
17,xx,DET,2
18,xx,NOUN,1
19,xx,PART,4
20,xx,PRON,1
21,xxx,ADP,1
22,xxx,AUX,7
23,xxx,CCONJ,8
24,xxx,DET,15
25,xxx,PART,2
26,xxx,PRON,3
27,xxx,VERB,1
28,xxxx,ADJ,11
29,xxxx,ADP,5
30,xxxx,ADV,5
31,xxxx,AUX,1
32,xxxx,DET,1
33,xxxx,NOUN,21
34,xxxx,PRON,1
35,xxxx,SCONJ,6
36,xxxx,VERB,20
