,shape,pos,count
0,"""""Xxxx",DET,1
1,'x,PART,1
2,",",PUNCT,24
3,.,PUNCT,6
4,X,PRON,3
5,Xxx,ADV,2
6,Xxx,DET,1
7,Xxxx,ADV,1
8,Xxxx,INTJ,1
9,Xxxxx,PROPN,9
10,other.,PUNCT,14
11,x,DET,4
12,x'x,PART,1
13,xx,ADP,7
14,xx,ADV,1
15,xx,AUX,3
16,xx,PART,2
17,xx,PRON,9
18,xx,SCONJ,1
19,xx,VERB,2
20,xxx,ADP,1
21,xxx,ADV,2
22,xxx,AUX,4
23,xxx,CCONJ,16
24,xxx,DET,9
25,xxx,NOUN,4
26,xxx,PART,1
27,xxx,PRON,13
28,xxx,VERB,5
29,xxxx,ADJ,18
30,xxxx,ADP,2
31,xxxx,ADV,11
32,xxxx,AUX,4
33,xxxx,DET,2
34,xxxx,NOUN,18
35,xxxx,PRON,4
36,xxxx,SCONJ,3
37,xxxx,VERB,23
