,shape,pos,count
0,",",PUNCT,12
1,.,PUNCT,7
2,Xx,ADP,1
3,Xxx,DET,1
4,Xxx,NUM,1
5,Xxxx,ADV,1
6,Xxxxx,ADV,1
7,Xxxxx,SCONJ,1
8,Xxxxx,VERB,1
9,other.,PART,2
10,other.,PUNCT,4
11,x,DET,4
12,xx,ADP,9
13,xx,ADV,1
14,xx,CCONJ,3
15,xx,PART,3
16,xx,PRON,1
17,xx,SCONJ,1
18,xxx,ADJ,1
19,xxx,AUX,1
20,xxx,CCONJ,3
21,xxx,DET,15
22,xxx,NOUN,1
23,xxx,NUM,2
24,xxx,PRON,1
25,xxx,VERB,2
26,xxxx,ADJ,14
27,xxxx,ADP,8
28,xxxx,ADV,8
29,xxxx,AUX,10
30,xxxx,DET,5
31,xxxx,NOUN,40
32,xxxx,PRON,4
33,xxxx,SCONJ,6
34,xxxx,VERB,22
