,shape,pos,count
0,",",PUNCT,14
1,.,PUNCT,8
2,X,DET,1
3,Xx,ADP,1
4,Xx,PRON,1
5,Xx,SCONJ,1
6,Xxx,DET,1
7,Xxx,PRON,1
8,Xxxx,ADV,1
9,Xxxxx,ADP,1
10,Xxxxx,PROPN,2
11,other.,PUNCT,7
12,x,DET,1
13,xx,ADP,20
14,xx,ADV,1
15,xx,AUX,6
16,xx,DET,2
17,xx,PART,2
18,xx,PRON,3
19,xx,VERB,1
20,xxx,AUX,5
21,xxx,CCONJ,5
22,xxx,DET,11
23,xxx,NOUN,1
24,xxx,PART,1
25,xxx,PRON,3
26,xxxx,ADJ,22
27,xxxx,ADP,2
28,xxxx,ADV,6
29,xxxx,AUX,1
30,xxxx,DET,1
31,xxxx,NOUN,54
32,xxxx,NUM,1
33,xxxx,PRON,1
34,xxxx,SCONJ,3
35,xxxx,VERB,19
